id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
61878,MODERN LIVING AND FURNISHINGS,300211,Rita,,District 2,32.8169,-96.82018,Entire home/apt,76,30,45,2022-02-28,0.32,1,270,5,
776810,Goldies Bohemian Loft,4096626,Eric,,District 2,32.81462,-96.81586,Entire home/apt,75,5,29,2020-03-26,0.24,1,325,0,
795703,Amazing location walk to Downtown Dallas,4191322,Michelle,,District 14,32.80327,-96.80976,Entire home/apt,222,30,69,2021-11-19,0.59,1,259,1,
826118,Far North Dallas -- Blue Room,804559,Rod,,District 12,32.98825,-96.78926,Private room,54,2,20,2022-06-02,0.23,3,313,5,
826178,Far North Dallas -- Orange Room,804559,Rod,,District 12,32.98621,-96.78857,Private room,40,2,23,2020-01-31,0.21,3,73,0,
826201,Far North Dallas -- Gray Room,804559,Rod,,District 12,32.98853,-96.78903,Private room,54,2,26,2022-06-05,0.23,3,230,8,
860248,"Peaceful Home By the Lake: Safe, Cozy, Quiet",4505460,Judy,,District 9,32.85509,-96.70625,Private room,42,3,55,2022-05-27,0.76,3,73,20,
1056850,1928 VINTAGE OAK LAWN APTS SUITE 1,5821283,Kathy,,District 14,32.82181,-96.80816,Entire home/apt,95,2,128,2022-06-25,1.39,3,344,7,
1154424,"Uptown, Charming Studio 1B,Fast Free WiFi Parking",6063232,Joan,,District 14,32.818684,-96.790154,Entire home/apt,114,3,92,2022-07-05,0.82,11,316,6,
1158488,Cozy 1BD in Lower Greenville Ave,5037857,Marie,,District 14,32.81723,-96.76775,Entire home/apt,99,3,190,2022-07-03,1.70,1,336,13,
1223427,"Bright Studio 1A, Free  Fast WiFi Parking Cable",6063232,Joan,,District 14,32.818684,-96.790154,Entire home/apt,114,3,90,2021-11-02,0.81,11,363,2,
1277933,The Santa Fe Suite and Maxfield Parrish Suite,6904484,C. F. Sandy,,District 11,32.92449,-96.79062,Private room,65,1,32,2019-11-09,0.50,1,134,0,
1479800,Sunny/MStreet/SMU/Trendy Greenville/Private Bath,3809024,Holly,,District 14,32.83103,-96.7638,Private room,80,2,101,2022-02-26,0.92,3,0,3,
1488809,Vintage House Near Center of Dallas,7961670,Jill,,District 1,32.74566,-96.83436,Private room,58,1,705,2022-02-28,6.52,1,330,26,
1507428,"Uptown – Studio  #8, Free Fast WiFi Parking Cable",6063232,Joan,,District 14,32.81961,-96.78996,Entire home/apt,101,3,64,2022-05-11,0.59,11,365,6,
1627338,Bedroom in Quiet Minimal White Rock Lake Lakewood,3932821,Greg,,District 9,32.81088,-96.70323,Entire home/apt,35,60,0,,,2,0,0,
1774599,White Rock Lake Apartment Condo,3932821,Greg,,District 14,32.81029,-96.73111,Entire home/apt,40,24,48,2019-03-09,0.45,2,0,0,
