id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
591161916909970353,2 Bedroom Guest Suite near UC Health University,308534500,Dario,,Lowry Field,39.73584,-104.86383,Entire home/apt,172,1,9,2022-06-25,7.30,1,353,9,S20102618-0001
51840700,Boho BaseCamp + Private Entrance + Stanley Market,419949379,Chris,,Stapleton,39.74758,-104.87034,Entire home/apt,85,1,2,2022-06-20,2,1,67,2,S20103140-0001
29794185,"Basement unit 2b,1.5b priv entrance, near Anschutz",216591246,Kristi,,East Colfax,39.73871,-104.87422,Entire home/apt,95,2,77,2022-06-16,1.74,1,145,40,S20150024-0001
592879071549458816,206DelMar-Lovely one bedroom apt near Anschutz,369245530,"Serena, Lyric Or Ben",,Stapleton,39.74765,-104.87343,Entire home/apt,64,31,1,2022-05-31,1,25,318,1,
43987549,Farmhouse on 1-acre w/ Studio Space,6778027,Trish,,Berkeley,39.77122,-105.05536,Entire home/apt,149,60,0,,,1,238,0,
40564944,Awesome Condo in Great Location!,314320645,Glen,,Berkeley,39.77261,-105.05704,Entire home/apt,97,1,121,2022-06-14,3.98,2,303,41,
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Virginia Village,39.69551,-104.92489,Entire home/apt,130,1,113,2022-06-23,1.60,1,280,29,2016-BFN-0004968
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.76758,-105.00316,Entire home/apt,133,29,170,2022-05-01,3.60,2,5,19,2017-BFN-0002177
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,2016-04-26,0.54,1,358,0,
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75511,-104.91109,Private room,55,1,655,2022-06-22,4.06,2,194,38,2021-BFN-0000578
592,private,933,Jill,,North Park Hill,39.75481,-104.91106,Private room,54,2,167,2022-05-18,1.03,2,0,11,2021-BFN-0000578
686,Alexandra's Queen Bed Room LONG-TERM RENTAL,990,Alexandra,,North Capitol Hill,39.74695,-104.97838,Private room,33,30,256,2021-07-16,1.52,1,300,1,2016-BFN-0008368
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.72166,-104.99864,Entire home/apt,111,1,96,2022-06-21,1.45,1,122,36,2018-BFN-0002596
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,90,4,122,2022-06-07,0.85,1,273,32,2020-BFN-0000193
39405,LoHi Secret garden at Mulberry Cottage Monthly,666,Jennifer & Giovanni,,Highland,39.76605,-105.00526,Entire home/apt,110,29,631,2022-06-05,4.36,2,0,7,
74125,"Spacious, Sanitized Condo (built in 1889) w/ yards",385864,Joe,,Capitol Hill,39.7321,-104.98017,Entire home/apt,145,5,124,2022-06-07,0.93,1,244,8,2018-BFN-0007946
90307,Comfy King Size Room (Park Hill),489506,Doreen,,South Park Hill,39.7495,-104.93362,Private room,90,1,247,2022-06-19,1.94,3,30,42,2021-BFN-0005164
154999,In the Heart of Downtown Denver,745200,Susan,,CBD,39.74439,-104.98927,Entire home/apt,80,30,11,2011-12-13,0.08,5,324,0,
192430,treetop view bedroom  east dwntwn ./  4-8 weeks,923646,Kate,,South Park Hill,39.7435,-104.93753,Private room,46,29,127,2022-04-09,0.96,1,72,5,
217996,Highland Snug,10730,William,,Highland,39.75895,-105.01036,Private room,80,30,12,2022-03-28,0.14,2,153,1,STR 2017-BFN-0002802
283162,2000 SF-Lodo Club Style Condo,1475137,Lee,,Union Station,39.7515,-104.99473,Entire home/apt,165,30,3,2022-05-01,0.06,1,292,2,
286732,House on Stout: Prairie: Welcoming Solo Travelers,1154806,Ellen,,Five Points,39.75243,-104.98315,Private room,94,2,223,2022-06-26,2.28,3,2,33,2021-BFN-0002011
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.69845,-104.98073,Entire home/apt,183,29,144,2021-08-29,1.15,1,329,1,2019-BFN-0002707
370209,Private room in the nest - w/bathroom,269892,Maura,,Baker,39.7172,-104.99767,Private room,75,4,113,2022-05-21,1.34,1,274,11,2017-BFN-0008931
477016,Private room In the heart of Denver,10951,Tricia,,City Park West,39.74348,-104.97089,Private room,55,3,355,2022-06-12,2.92,1,12,29,2019-BFN-0009249
504080,Creative Haven in Artist’s Abode,2370964,Andrea,,Clayton,39.76574,-104.95379,Entire home/apt,148,2,68,2022-06-05,0.56,1,52,20,2017-BFN-0001679
521072,Downtown and Modern by Hospital.,2563107,Matthew,,City Park West,39.74469,-104.96428,Entire home/apt,132,60,208,2022-05-12,1.72,1,223,3,2016-BFN-0008652
548897,"TreeHouseSuite, in Healing Center ~30 DAYS OR MORE",1313972,Heather,,City Park,39.74247,-104.95916,Private room,55,30,159,2022-06-12,1.39,2,282,6,
575758,a REAL warehouse LOFT,2832150,Kerry,,Five Points,39.76561,-104.97945,Entire home/apt,200,180,37,2017-01-09,0.37,1,365,0,39858-98489
632709,1890 townhome in popular LoHi! 2018-BFN-0009355,2157095,Valerie,,Highland,39.76468,-105.00883,Entire home/apt,143,29,162,2020-03-13,1.49,1,80,0,
665622,Cozy Central Loft -Walkable to Everything - 2BR,3364096,Becky,,Highland,39.7616,-105.01235,Entire home/apt,102,29,855,2021-12-27,7.14,4,299,4,2018-BFN-0006845
676825,Beautiful Home in Charming Location,3440535,Krista,,Stapleton,39.75706,-104.88374,Entire home/apt,221,5,174,2022-06-13,1.47,1,161,20,2016-BFN-0007545
715123,Hip Platt Park Bungalow,3654159,Dave & Lisa,,Platt Park,39.69381,-104.98364,Entire home/apt,128,2,65,2022-06-26,4.03,1,5,48,2021-BFN-0000478
732845,"RiNo Breweries, Food, Music & Art just steps away!",3816358,John,,Five Points,39.759,-104.98106,Entire home/apt,565,2,152,2022-06-05,1.29,1,199,32,2017-BFN-0000827
746298,Urban Retreat with Private Bath,3915386,Mary,,Lowry Field,39.72535,-104.89616,Private room,58,30,88,2022-05-25,1.01,1,67,1,2016-BFN-0008025
756594,Private lower level 2 bedroom suite,3638426,Ling & Chris,,South Park Hill,39.74027,-104.91516,Entire home/apt,86,2,352,2022-05-29,3.08,1,304,39,2016-BFN-0008363
761858,2 Bedrooms - 2 King Size Beds (Park Hill),489506,Doreen,,North Park Hill,39.75132,-104.93423,Private room,180,1,21,2022-02-19,0.18,3,35,3,2021-BFN-0005164
774712,"ZEN! Location! Cute,Quiet,nosmoking,CLEAN!",4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,81,30,35,2022-01-15,0.30,6,329,2,
776434,Super-comfortable Modern Home 3 Bdr -Platt Park DU,3344763,Steve,,Platt Park,39.68403,-104.98296,Entire home/apt,268,3,99,2022-06-12,0.86,3,264,14,2017-BFN-0000938
852934,Peaceful Artist Oasis 2BR easy access Downtown,4452973,Vivian & Tom,,Goldsmith,39.6735,-104.92938,Entire home/apt,142,1,310,2022-06-12,2.79,1,355,40,
915016,Cozy Capitol Hill Accommodation,4911774,Tim And Cindy,,Capitol Hill,39.73572,-104.97783,Entire home/apt,111,30,322,2022-04-02,2.92,1,301,13,2020-BFN-0000493
921485,Stylish & Historic LoHi Loft w/ Views and Parking,3378084,Alexandra,,Highland,39.75838,-105.01479,Entire home/apt,145,29,67,2022-06-11,0.60,2,318,4,
953052,Congress Park Cottage,5173501,Steve,,Congress Park,39.7325,-104.94919,Entire home/apt,150,30,2,2018-09-16,0.03,1,316,0,
958612,DENVER SUITE MOUNTAIN VIEW GREAT LOCATION,5216325,Julia,,CBD,39.74646,-104.99688,Entire home/apt,125,30,12,2022-06-02,0.12,6,331,1,
1041934,"Private apt in Berkeley, MTN Views!",5811115,Annette,,Berkeley,39.78027,-105.03808,Entire home/apt,165,30,33,2022-04-22,0.31,5,288,4,
1042331,Beautiful Apt in Berkeley/Highlands,5811115,Annette,,Berkeley,39.77983,-105.03936,Entire home/apt,145,30,44,2022-05-20,0.39,5,190,5,
1069351,Historic Denver Bungalow- 30+ day rentals only,3577356,Bonnie,,Sunnyside,39.77389,-105.0106,Entire home/apt,106,30,5,2018-11-17,0.05,1,278,0,
1074386,1BR/1BA Santa Fe Arts District Home,5910663,Tony,,Lincoln Park,39.72599,-104.99628,Entire home/apt,271,1,90,2022-06-14,0.83,3,267,27,2020-BFN-0001729
1082572,Baker Flat/Private Yard & Parking-30+ Dogs OK. 5G.,879998,Jennifer,,Baker,39.71466,-104.99192,Entire home/apt,161,30,43,2020-10-27,0.40,4,77,0,
1153002,Comforts of Home in RiNO - 3bd/2ba,192640,Kim,,Cole,39.76871,-104.96811,Entire home/apt,136,30,54,2016-05-08,0.49,3,0,0,
1223593,Sweet and sunny in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73704,-104.96965,Private room,68,29,158,2022-05-18,1.48,3,295,3,
1223612,Suite of rooms in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73165,-104.97057,Private room,58,29,183,2022-03-07,1.66,3,335,3,
1243170,"Artsy Home - Queen Bed, Private Ba",192640,Kim,,Cole,39.76818,-104.97044,Private room,47,30,9,2016-03-10,0.10,3,0,0,
1313699,"Platt Park Urban Getaway: entire house, families!",7138728,Ann,,Platt Park,39.68332,-104.97382,Entire home/apt,218,4,18,2016-08-07,0.17,1,3,0,2021-BFN-0003953
1327856,Two-Story Open Condo with GREAT Outdoor Rooftop!,7206373,Leila And Alex,,Capitol Hill,39.73484,-104.98193,Entire home/apt,224,2,164,2022-05-30,1.53,1,10,15,2016-BFN-0007176
1402409,Spacious 1928 Bungalow near Sloan's Lake.,1382900,Pamela,,West Colfax,39.73995,-105.04053,Entire home/apt,245,4,129,2022-06-20,1.21,1,135,21,2021-BFN-0000150
1529804,Bright & Cosy Studio Near Shops and Restaurants,8157870,Rachel,,Berkeley,39.77863,-105.02618,Entire home/apt,92,1,313,2022-06-21,4.56,1,76,106,2017-BFN-0002746
1581384,West Highlands Sweet Retreat!,8410190,Deanna,,West Highland,39.76779,-105.05005,Entire home/apt,128,30,78,2022-06-19,0.75,7,269,7,2019-BFN-0000709
1583103,W. Wash Park Artist Bungalow,8428229,Christina,,Speer,39.72088,-104.98371,Entire home/apt,108,29,34,2022-05-15,0.74,3,106,7,347183-070055
1637744,Park Hill Denver: Shady Retreat,8697449,Jennifer,,South Park Hill,39.74446,-104.91113,Private room,80,30,39,2021-11-19,0.46,1,325,2,2020-BFN-0001321
1641476,Charming 1890's Victorian Cottage by Sloan's Lake,8714815,Allison,,Sloan Lake,39.75459,-105.04991,Entire home/apt,196,29,34,2021-12-28,0.59,1,159,2,2021-BFN-0000429
1733052,Beautiful Private Basement Suite near Downtown,2416216,Jason,,Cheesman Park,39.73799,-104.97219,Private room,101,1,1255,2022-06-16,11.84,1,262,170,2016-BFN-0008749
1737365,Stylish & Historic LoHi Loft on Wyandot,3378084,Alexandra,,Highland,39.75901,-105.01541,Entire home/apt,117,29,71,2022-05-19,0.68,2,305,4,
1758820,Denver Park Front Home,3158051,Maureen,,Washington Park,39.70187,-104.96718,Entire home/apt,215,7,1,2022-03-05,0.26,1,0,1,2021-BFN-0009986
