id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29059,Lovely studio Quartier Latin,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,152,2,364,2022-06-02,2.50,2,267,34,
29061,Maison historique - Quartier Latin,125031,Maryline,,Ville-Marie,45.51929,-73.56493,Entire home/apt,351,3,93,2022-05-28,0.74,2,258,23,
511509,Prime Location in Old Montreal - 2 floors,2519666,Andrew,,Ville-Marie,45.50922,-73.5519,Entire home/apt,169,2,215,2022-05-29,1.77,1,229,56,
513546,High end loft downtown/old Montreal,2529811,Kim And Sam,,Ville-Marie,45.50434,-73.56264,Entire home/apt,253,24,367,2022-03-12,3.01,4,86,10,
31847,Downtown/Airport room,2319,Gail,,Le Sud-Ouest,45.48467,-73.57995,Private room,50,2,173,2022-05-23,1.19,3,173,19,
516497,Nice 3 1/2 apt in Montreal!,2542820,Geneviève,,Rosemont-La Petite-Patrie,45.54745,-73.57901,Entire home/apt,50,30,11,2019-08-06,0.10,1,0,0,
519108,Quartier Villeray Montréal,2553387,Andréanne,,Villeray-Saint-Michel-Parc-Extension,45.53689,-73.62379,Entire home/apt,85,31,30,2022-05-01,0.25,1,117,2,
519733,Water view loft in Old Montreal,2555851,Monica,,Ville-Marie,45.5089,-73.5534,Entire home/apt,314,2,26,2018-03-11,0.22,1,5,0,
34715,Chez Patrac ! Métro Beaubien,149769,Alain,,Rosemont-La Petite-Patrie,45.53818,-73.6036,Entire home/apt,160,4,7,2022-02-20,0.05,1,226,3,261 026
521395,Montreal Village Downtown Quebec,2520266,Frederic,,Ville-Marie,45.52091,-73.55656,Entire home/apt,3143,2,13,2017-10-02,0.11,2,190,0,
526401,Spacious bright loft in the Plateau,915999,Tammy,,Le Plateau-Mont-Royal,45.5137,-73.57614,Entire home/apt,140,180,93,2019-08-17,0.84,1,347,0,
528291,1.Room from 1 months to one year!,2527367,Taby,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49428,-73.61123,Private room,45,90,5,2018-06-09,0.08,1,268,0,
556742,"5-1/2 Plateau Mont Royal,2 bedrooms",2737452,Carole,,Le Plateau-Mont-Royal,45.5309,-73.56854,Entire home/apt,125,10,119,2022-05-13,1.00,2,252,3,
564098,Bright loft on the Plateau +terrace,2542265,Marilou,,Le Plateau-Mont-Royal,45.53826,-73.5707,Entire home/apt,50,5,8,2020-06-30,0.07,1,129,0,
36301,Romantic & peaceful Plateau  loft,381468,Sylvie,,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire home/apt,150,5,42,2021-08-31,0.49,7,267,1,
565545,CASA - BLANCA : PEACE & QUIET,2124794,Aniss,,Mercier-Hochelaga-Maisonneuve,45.5506,-73.5443,Private room,60,31,37,2018-09-20,0.31,1,312,0,
573924,Le New-York : CHIC apt near metro & AtwaterMarket,1016614,Home In Montreal,,Verdun,45.46716,-73.57171,Entire home/apt,99,90,9,2019-09-01,0.08,12,171,0,
583029,Room in little ancestral house near waterfront,2872156,Eve Caroline,,Lachine,45.43393,-73.68545,Private room,70,1,63,2022-06-07,0.53,1,222,13,
38118,Beautiful room  with a balcony in front of a parc,163569,M.,,Ville-Marie,45.52699,-73.5584,Private room,50,10,16,2022-05-03,0.12,3,285,2,
584985,Grande chambre dans appartement lumineux,2883070,Yann,,Rosemont-La Petite-Patrie,45.53443,-73.60219,Private room,29,30,13,2021-07-13,0.30,2,0,1,
589770,Montreal at the heart of City-Marie,2909959,Christophe,,Ville-Marie,45.51757,-73.55598,Entire home/apt,140,3,60,2020-03-20,0.50,2,157,0,
46626,Beautiful! Charming! Spacious! Rooms!,208453,Maureen,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47012,-73.60725,Private room,67,3,29,2022-06-05,0.22,2,328,9,305995
