id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27640141,Fibre internet*Monthly Discount*Character House,2343887,Liora,,Dovercourt-Wallace Emerson-Junction,43.66434,-79.42496,Entire home/apt,90,28,47,2022-06-13,0.95,2,145,4,
27647117,Cozy studio in an amazing neighbourhood!,96809956,Alexandra,,Playter Estates-Danforth,43.67943,-79.34853,Entire home/apt,45,28,4,2021-02-06,0.08,1,0,0,
27826009,Downtown condo,17410774,Brianne,,Waterfront Communities-The Island,43.64698,-79.39121,Entire home/apt,130,28,2,2018-09-09,0.04,1,0,0,
27647509,Dundas west subway station apartment BEST LOCATION,179249078,Rosana,,High Park North,43.65953,-79.45416,Private room,80,28,9,2019-03-20,0.19,1,0,0,
27653375,Exquisite 1200 sqft 3BR + Den in core-downtown,135718015,Ayk,,Waterfront Communities-The Island,43.64126,-79.38277,Entire home/apt,1999,28,20,2021-06-24,0.42,37,179,0,STR-2204-HLPVHK
27827073,Designer Retreat in the Heart of The Beach,1569948,Andrew,,The Beaches,43.6668,-79.30347,Entire home/apt,359,2,8,2022-09-04,0.16,2,98,5,STR-2012-FGJKVB
27831815,"Bright, Central, Spacious Condo - Heart of Toronto",35028799,Nathalie,,Waterfront Communities-The Island,43.64787,-79.39333,Entire home/apt,495,28,7,2022-08-14,0.14,1,156,1,
27658681,The Beach- Bright Suite with Kitchenette,134949475,Dale,,The Beaches,43.67634,-79.29922,Entire home/apt,185,2,41,2022-09-06,3.34,1,327,40,STR-2108-HKVPHK
27675456,Private bachelor near Warden Station 10min by foot,141030429,Jacky,,Oakridge,43.70043,-79.2766,Private room,54,28,3,2022-06-30,0.08,4,75,2,STR-2010-JDDRPM
27832397,The Ark Studio,34233250,Kate,,Roncesvalles,43.64544,-79.44713,Entire home/apt,90,2,73,2022-08-26,1.87,1,3,31,STR-2101-JFGDVM
27677502,Cozy Bungalow near subway Young/Lawrence,13813543,Shuwan,,Lawrence Park North,43.72452,-79.40971,Entire home/apt,173,28,18,2022-07-29,0.37,1,136,3,
27834504,Boho Oasis,210192306,Jessie,,Little Portugal,43.64946,-79.43424,Entire home/apt,150,28,10,2019-07-09,0.20,1,0,0,
