id,host_id,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_30,number_of_reviews,review_scores_rating,zip
2539,2787,9.0,Kensington,40.64529,-73.97238,Private room in rental unit,Private room,2,1.0,1.0,$299.00,30,21,9,4.89,11218
5121,7356,2.0,Bedford-Stuyvesant,40.68535,-73.95512,Private room in rental unit,Private room,2,1.0,1.0,$60.00,30,5,50,4.52,11216
45910,204539,7.0,Ridgewood,40.70309,-73.89963,Entire townhouse,Entire home/apt,16,5.0,10.0,$425.00,30,30,13,4.42,11385
5136,7378,1.0,Sunset Park,40.66265,-73.99454,Entire rental unit,Entire home/apt,4,2.0,2.0,$275.00,21,0,3,5.0,11215
77765,417504,30.0,Greenpoint,40.73777000000001,-73.95366,Room in boutique hotel,Hotel room,2,1.0,1.0,$308.00,2,15,42,4.9,11109
5178,8967,1.0,Midtown,40.76457,-73.98317,Private room in rental unit,Private room,2,1.0,1.0,$68.00,2,2,550,4.23,10019
80493,434987,1.0,East Village,40.72322,-73.98615,Private room in rental unit,Private room,2,1.0,2.0,$55.00,2,0,207,4.34,10009
80684,417504,30.0,Greenpoint,40.73756,-73.9535,Room in boutique hotel,Hotel room,4,1.0,2.0,$529.00,2,25,10,5.0,11109
80700,417504,30.0,Greenpoint,40.73777000000001,-73.95366,Room in boutique hotel,Private room,4,1.0,2.0,$372.00,2,17,9,4.67,11109
45936,867225,1.0,Morningside Heights,40.8063,-73.95985,Private room in bed and breakfast,Private room,2,1.0,1.0,$75.00,31,0,135,4.65,10115
5203,7490,1.0,Upper West Side,40.8038,-73.96751,Private room in rental unit,Private room,1,1.0,1.0,$75.00,2,0,118,4.91,10025
5803,9744,3.0,South Slope,40.66801,-73.98784,Private room in townhouse,Private room,2,1.0,1.0,$118.00,4,0,216,4.7,11215
46911,210746,3.0,Prospect Heights,40.68022,-73.97457,Private room in home,Private room,2,1.0,1.0,$123.00,3,0,65,4.69,11217
49048,35935,5.0,Bedford-Stuyvesant,40.6829,-73.95701,Private room in home,Private room,3,1.0,2.0,$90.00,30,0,23,4.36,11216
80924,438133,2.0,Park Slope,40.67407,-73.98105,Entire townhouse,Entire home/apt,5,3.0,5.0,$160.00,30,0,37,4.86,11217
81739,417504,30.0,Greenpoint,40.73777000000001,-73.95366,Room in boutique hotel,Private room,4,1.0,2.0,$372.00,2,17,2,4.0,11109
50447,9744,3.0,Gowanus,40.66913,-73.99041,Entire rental unit,Entire home/apt,4,1.0,2.0,$158.00,5,1,223,4.83,11215
6872,16104,2.0,East Harlem,40.80107,-73.94255,Private room in condo,Private room,1,1.0,1.0,$65.00,30,0,1,5.0,10026
52689,244071,1.0,Ditmars Steinway,40.77868,-73.90652,Entire rental unit,Entire home/apt,4,2.0,2.0,$140.00,4,1,38,4.97,11105
82638,449787,1.0,East Village,40.72408,-73.98154,Entire rental unit,Entire home/apt,2,1.0,1.0,$169.00,30,9,276,4.79,10009
6990,16800,2.0,East Harlem,40.78778,-73.94759,Private room in rental unit,Private room,1,1.0,1.0,$62.00,30,6,239,4.88,10029
82928,451545,1.0,Bedford-Stuyvesant,40.68433,-73.94469000000002,Entire townhouse,Entire home/apt,5,2.0,3.0,$150.00,30,0,76,4.91,11216
