id,host_id,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_30,number_of_reviews,review_scores_rating
23124338,171830071,1,Fordham,40.85534,-73.89733,Private room in guesthouse,Private room,16,11,21,$66.00 ,30,0,5,3.75
279857,1420300,1,Bedford-Stuyvesant,40.68607,-73.95536,Private room in home,Private room,16,8,18,"$1,200.00 ",4,12,188,4.87
6.45944E+17,8997485,6,Midwood,40.62244,-73.96048,Entire rental unit,Entire home/apt,14,4,14,$237.00 ,2,8,1,4
52757886,170960170,6,Woodside,40.74566,-73.9038,Entire home,Entire home/apt,16,8,14,$879.00 ,1,17,1,5
26602878,56338076,2,Harlem,40.81536,-73.93919,Private room in rental unit,Private room,4,2,13,$150.00 ,2,1,8,4.86
1935302,10008086,1,Fort Greene,40.69188,-73.97059,Entire townhouse,Entire home/apt,5,1,12,$200.00 ,2,9,174,4.72
8629731,21965282,4,Bay Ridge,40.6328,-74.03096,Entire rental unit,Entire home/apt,12,3,12,$553.00 ,30,29,15,4.93
11369211,21965282,4,Bay Ridge,40.63355,-74.03091,Entire rental unit,Entire home/apt,12,3,12,$554.00 ,2,28,6,5
7.02719E+17,309395681,9,Williamsbridge,40.87554001,-73.85431436,Entire rental unit,Entire home/apt,10,3,12,$280.00 ,3,0,1,5
53443595,432679409,11,Tribeca,40.72166,-74.00533,Tiny home,Entire home/apt,16,4,12,"$2,393.00 ",1,21,3,5
512209,2521513,1,Brooklyn Heights,40.69923,-73.99402,Entire home,Entire home/apt,16,5,12,$950.00 ,4,0,64,4.95
4742102,6932195,1,Fresh Meadows,40.73158,-73.78746,Entire home,Entire home/apt,8,5,12,$679.00 ,5,18,39,4.87
48661038,10259705,2,New Springville,40.58325,-74.15221,Entire home,Entire home/apt,5,5,12,$295.00 ,5,16,16,4.94
5.52352E+17,179196511,11,Bedford-Stuyvesant,40.67892,-73.90752,Entire rental unit,Entire home/apt,16,5,12,$793.00 ,1,24,9,4.33
27923577,20912691,11,Jamaica,40.71094,-73.78254,Entire home,Entire home/apt,16,6,12,$644.00 ,3,22,79,4.94
53735503,435050037,14,Flatbush,40.65167,-73.96366,Entire home,Entire home/apt,16,7,12,"$1,410.00 ",2,19,4,5
5.69767E+17,312661846,3,Brownsville,40.66734,-73.92178,Entire home,Entire home/apt,16,8,12,$799.00 ,3,10,1,5
7.07273E+17,407479321,11,Upper West Side,40.77438407,-73.98164269,Entire rental unit,Entire home/apt,16,2,11,$879.00 ,1,24,1,5
40403662,12197079,1,Midtown,40.75756,-73.96582,Entire townhouse,Entire home/apt,12,3,11,$795.00 ,30,30,19,5
9920363,50997424,8,Ridgewood,40.70465,-73.89909,Entire townhouse,Entire home/apt,16,5,11,$395.00 ,30,30,8,4.25
33521985,160940380,10,St. Albans,40.70027,-73.74911,Entire home,Entire home/apt,16,6,11,$675.00 ,2,16,61,4.72
34866682,262657892,5,Crown Heights,40.66485,-73.93022,Entire home,Entire home/apt,16,9,11,$743.00 ,4,7,21,4.95
9310959,7065964,20,Crown Heights,40.66656,-73.94764,Entire home,Entire home/apt,8,1,10,$164.00 ,2,8,291,4.77
47341339,382191358,2,Tremont,40.84602,-73.89279,Entire rental unit,Entire home/apt,15,2,10,$350.00 ,1,22,47,4.49
6.50643E+17,392601866,3,Marine Park,40.61553216,-73.94186884,Entire rental unit,Entire home/apt,10,3,10,$244.00 ,1,16,6,4.33
4800921,1559494,1,Williamsburg,40.71221,-73.95059,Entire home,Entire home/apt,14,4,10,$457.00 ,2,5,127,4.51
53428467,13603829,31,SoHo,40.72463,-74.0032,Entire loft,Entire home/apt,16,4,10,"$2,243.00 ",2,9,25,4.72
6.4027E+17,20912691,11,Jamaica,40.71059,-73.78221,Entire home,Entire home/apt,16,4,10,$720.00 ,3,0,1,5
6.39045E+17,183178516,6,Rego Park,40.72631,-73.86128,Entire townhouse,Entire home/apt,13,4,10,$482.00 ,1,27,4,4.75
45910,204539,7,Ridgewood,40.70309,-73.89963,Entire townhouse,Entire home/apt,16,5,10,$425.00 ,30,30,13,4.42
49651889,4989542,1,Lower East Side,40.72095,-73.99047,Entire townhouse,Entire home/apt,12,6,10,"$3,062.00 ",1,11,57,4.89
50215606,195137,4,Harlem,40.82323,-73.94933,Entire rental unit,Entire home/apt,15,6,10,$810.00 ,4,8,3,5
53160927,430352020,6,Jamaica Estates,40.71555,-73.78664,Entire home,Entire home/apt,16,6,10,$357.00 ,30,14,18,5
6.49171E+17,464234569,2,Harlem,40.81747,-73.94556,Entire townhouse,Entire home/apt,15,6,10,$749.00 ,4,9,4,4.75
11553360,42619297,2,Fort Greene,40.69255,-73.97252,Entire rental unit,Entire home/apt,16,7,10,"$1,160.00 ",2,14,136,4.65
51930569,44008190,14,Port Richmond,40.64923,-74.13376,Entire rental unit,Entire home/apt,16,7,10,$806.00 ,1,20,4,4.5
30121693,195650078,7,Hell's Kitchen,40.77958,-74.00843,Entire townhouse,Entire home/apt,10,7,10,$635.00 ,2,6,59,4.71
37022153,65608448,1,Crown Heights,40.66486,-73.93151,Entire home,Entire home/apt,16,8,10,$745.00 ,4,15,57,4.6
33396290,71276635,13,Washington Heights,40.83396,-73.9437,Shared room in condo,Shared room,13,1,9,$499.00 ,1,26,30,4.5
302238,1556814,21,Harlem,40.80752,-73.94778,Entire rental unit,Entire home/apt,9,2,9,$395.00 ,30,10,7,4.6
5.88267E+17,285283438,3,Arrochar,40.59615,-74.08219,Entire home,Entire home/apt,3,2,9,$95.00 ,30,1,1,5
5478741,28411613,1,Midtown,40.74495,-73.98402,Entire rental unit,Entire home/apt,10,3,9,$589.00 ,30,0,71,4.55
8614204,1367316,4,Prospect-Lefferts Gardens,40.66165,-73.95659,Entire townhouse,Entire home/apt,12,3,9,$189.00 ,3,11,97,4.45
24836464,175019394,6,Jamaica,40.67162,-73.77911,Entire home,Entire home/apt,10,3,9,$529.00 ,1,26,5,4
48250684,277698942,3,Flushing,40.75958,-73.82691,Private room in condo,Private room,12,3,9,$85.00 ,1,14,23,4.3
53461709,413485013,3,Rego Park,40.72914,-73.86007,Entire home,Entire home/apt,13,3,9,$347.00 ,1,30,4,3.75
6.34737E+17,19304890,1,Arverne,40.58659,-73.79869,Entire home,Entire home/apt,10,3,9,$575.00 ,3,27,3,4.67
6.53696E+17,422624029,4,Washington Heights,40.85341,-73.92992,Entire rental unit,Entire home/apt,12,3,9,$294.00 ,3,7,6,4.83
23247442,499896,2,Tompkinsville,40.63575,-74.08098,Entire home,Entire home/apt,12,4,9,$525.00 ,4,2,94,4.85
25018204,172611460,1,Harlem,40.82321,-73.95058,Entire townhouse,Entire home/apt,13,4,9,$925.00 ,30,0,34,4.94
27131400,4314926,2,Upper West Side,40.79125,-73.97329,Entire rental unit,Entire home/apt,7,4,9,"$1,000.00 ",30,0,1,5
27132347,4314926,2,Upper West Side,40.78981,-73.97251,Entire rental unit,Entire home/apt,8,4,9,"$1,200.00 ",30,0,4,4
39563416,34457315,3,Woodhaven,40.69082,-73.86348,Entire rental unit,Entire home/apt,10,4,9,$256.00 ,3,2,83,4.83
45116240,183178516,6,Rego Park,40.7253,-73.86104,Entire home,Entire home/apt,13,4,9,$288.00 ,30,30,5,2.4
45994531,349820814,3,Boerum Hill,40.68438,-73.9822,Entire rental unit,Entire home/apt,8,4,9,$384.00 ,4,0,11,4.91
49606003,235681234,4,Long Island City,40.74456,-73.95145,Entire rental unit,Entire home/apt,9,4,9,$300.00 ,3,3,46,4.67
50003985,202701019,4,Upper West Side,40.77703,-73.98263,Entire guesthouse,Entire home/apt,12,4,9,"$1,043.00 ",4,7,32,4.84
5.55891E+17,407479321,11,Allerton,40.86152,-73.86288,Entire home,Entire home/apt,16,4,9,$330.00 ,1,26,8,3.88
5.96312E+17,407479321,11,Bronx Park,40.8555,-73.88053,Entire home,Entire home/apt,16,4,9,$266.00 ,1,24,15,4.8
15868818,21285855,1,Bedford-Stuyvesant,40.6962,-73.94853,Entire rental unit,Entire home/apt,16,5,9,$407.00 ,2,6,20,4.3
52071868,37787619,6,Bedford-Stuyvesant,40.6774,-73.92096,Entire townhouse,Entire home/apt,14,5,9,$613.00 ,2,5,3,5
53541787,398073234,7,Maspeth,40.73918,-73.90681,Entire home,Entire home/apt,16,5,9,$899.00 ,2,18,1,5
6.66146E+17,391579286,1,Crown Heights,40.6728733,-73.9305456,Entire home,Entire home/apt,14,5,9,$367.00 ,1,18,12,4.75
33467371,683230,5,Upper East Side,40.76727,-73.95778,Entire townhouse,Entire home/apt,14,6,9,"$1,500.00 ",30,6,35,5
43532634,14290739,5,Fort Greene,40.68845,-73.97401,Entire townhouse,Entire home/apt,11,6,9,"$1,300.00 ",30,0,1,5
53665099,60105727,118,Cypress Hills,40.67756,-73.89499,Entire rental unit,Entire home/apt,14,6,9,$922.00 ,3,23,3,4.67
51401453,416291503,3,Gowanus,40.66823,-73.99329,Entire home,Entire home/apt,12,7,9,$545.00 ,3,4,14,4.71
6.05263E+17,108030899,2,East Flatbush,40.64507,-73.94629,Entire townhouse,Entire home/apt,16,7,9,$623.00 ,4,9,11,4.91
52638005,44008190,14,Port Richmond,40.64754,-74.13226,Entire home,Entire home/apt,16,7,9,$810.00 ,1,17,13,4.77
47047419,380290574,1,Upper East Side,40.77713,-73.95536,Entire home,Entire home/apt,14,8,9,"$2,243.00 ",3,5,29,4.79
45785189,159355723,150,Murray Hill,40.74736,-73.97932,Entire townhouse,Entire home/apt,12,9,9,$900.00 ,30,29,2,3.5
20119649,74541079,2,Crown Heights,40.671,-73.93599,Entire townhouse,Entire home/apt,8,1,8,$126.00 ,30,21,34,4.41
40624017,314533486,8,Hell's Kitchen,40.76594,-73.99164,Shared room in rental unit,Shared room,2,1,8,$85.00 ,30,0,2,4
20541892,146677115,1,Astoria,40.76578,-73.91968,Entire rental unit,Entire home/apt,4,2,8,$100.00 ,4,0,5,4.6
47293809,148088831,1,Midwood,40.62447,-73.9614,Entire rental unit,Entire home/apt,6,2,8,$174.00 ,3,1,94,4.89
53865364,402195263,3,Bedford-Stuyvesant,40.68559,-73.95454,Entire rental unit,Entire home/apt,4,2,8,$140.00 ,28,0,9,4.89
9864137,3011547,3,Boerum Hill,40.68516,-73.98581,Entire rental unit,Entire home/apt,6,3,8,$375.00 ,30,0,6,4.67
28202825,213014559,2,East Elmhurst,40.768,-73.87898,Entire rental unit,Entire home/apt,14,3,8,$146.00 ,30,0,96,4.63
34468721,259776956,5,Canarsie,40.62965,-73.89551,Entire home,Entire home/apt,10,3,8,$309.00 ,1,15,99,4.76
53192744,430352020,6,Jamaica Estates,40.71345,-73.78814,Entire rental unit,Entire home/apt,15,3,8,$118.00 ,30,20,8,5
54034713,224687317,4,East Elmhurst,40.76588,-73.88264,Entire home,Entire home/apt,8,3,8,$351.00 ,3,17,22,4.77
6.86837E+17,449238648,3,Randall Manor,40.65297,-74.12552,Entire rental unit,Entire home/apt,12,3,8,$364.00 ,1,17,2,5
53477,204539,7,Middle Village,40.71778,-73.87714,Entire townhouse,Entire home/apt,12,4,8,$350.00 ,30,30,16,4.71
12846048,23144316,1,Park Slope,40.66801,-73.975,Entire rental unit,Entire home/apt,7,4,8,$500.00 ,30,0,8,4.63
18664875,129714819,1,Gowanus,40.68126,-73.98912,Entire townhouse,Entire home/apt,8,4,8,$505.00 ,7,5,9,4.78
23771352,25705033,1,Williamsburg,40.70469,-73.93802,Entire rental unit,Entire home/apt,8,4,8,$190.00 ,30,0,1,5
25264664,27953442,2,Civic Center,40.7167,-74.00226,Entire loft,Entire home/apt,8,4,8,$999.00 ,30,0,4,5
32137481,10476957,3,West Village,40.73132,-74.00165,Entire loft,Entire home/apt,10,4,8,$799.00 ,30,30,68,4.96
44465405,284603393,6,Bedford-Stuyvesant,40.688641,-73.944099,Entire home,Entire home/apt,12,4,8,"$1,117.00 ",1,6,5,4.8
52365660,282655,4,Flatbush,40.63163,-73.95539,Entire home,Entire home/apt,7,4,8,$550.00 ,4,0,6,5
53148895,68242337,1,Flatbush,40.63362,-73.95782,Entire home,Entire home/apt,11,4,8,$400.00 ,2,20,10,4.4
53480206,429373545,1,Astoria,40.76997,-73.91777,Entire rental unit,Entire home/apt,13,4,8,$500.00 ,5,3,17,5
53663311,402195263,3,Bedford-Stuyvesant,40.686718,-73.953964,Entire rental unit,Entire home/apt,7,4,8,$211.00 ,30,2,1,5
6.49968E+17,441365757,1,Mott Haven,40.81154,-73.91819,Entire rental unit,Entire home/apt,11,4,8,$350.00 ,1,9,7,5
6.6176E+17,137280131,2,Upper West Side,40.78276255,-73.97400988,Entire rental unit,Entire home/apt,8,4,8,$424.00 ,30,0,1,5
16084672,92615005,1,Rockaway Park,40.58563,-73.82251,Entire townhouse,Entire home/apt,14,4,8,"$1,000.00 ",2,4,197,4.74
12389574,42329946,3,Bushwick,40.69159,-73.92402,Entire townhouse,Entire home/apt,14,5,8,$400.00 ,3,3,151,4.79
31120563,9786357,2,Prospect Heights,40.68083,-73.97,Entire home,Entire home/apt,10,5,8,$700.00 ,31,7,20,4.84
32381165,499896,2,Stapleton,40.62725,-74.08235,Entire home,Entire home/apt,12,5,8,$557.00 ,4,17,55,4.71
43968694,352171581,1,Arverne,40.59612,-73.79996,Entire home,Entire home/apt,16,5,8,"$1,365.00 ",2,21,77,4.62
5.56723E+17,82027819,1,East Flatbush,40.64399,-73.93215,Entire home,Entire home/apt,13,5,8,$430.00 ,2,12,26,4.62
5.79749E+17,26349246,5,Bushwick,40.6884,-73.9169,Entire rental unit,Entire home/apt,12,5,8,$436.00 ,1,9,30,4.8
5.44997E+17,76476071,2,Port Ivory,40.65627,-74.18785,Entire home,Entire home/apt,12,5,8,$203.00 ,1,20,45,4.8
9134840,25126382,3,Rockaway Park,40.58668,-73.81945,Entire home,Entire home/apt,15,5,8,$593.00 ,2,23,239,4.91
15324045,9049657,1,Bushwick,40.68796,-73.9086,Entire townhouse,Entire home/apt,16,6,8,"$1,143.00 ",1,5,217,4.83
25947689,195034974,5,Bushwick,40.69808,-73.92776,Entire rental unit,Entire home/apt,16,6,8,$500.00 ,30,0,15,4.33
44651142,1163318,3,Chelsea,40.74334,-74.00214,Entire townhouse,Entire home/apt,10,6,8,"$3,557.00 ",3,0,11,4.91
51978202,102618751,3,East New York,40.65772,-73.89141,Entire rental unit,Entire home/apt,16,6,8,$589.00 ,3,19,7,5
53004917,170960170,6,Maspeth,40.73858,-73.90804,Entire home,Entire home/apt,10,6,8,$600.00 ,1,23,3,3.33
6.56367E+17,26349246,5,Bushwick,40.6913544,-73.91809199,Entire rental unit,Entire home/apt,16,6,8,$550.00 ,1,17,5,5
44032418,352918949,3,Far Rockaway,40.59081,-73.73558,Entire home,Entire home/apt,12,6,8,$290.00 ,30,0,1,3
32501807,71276635,13,Washington Heights,40.83403,-73.94345,Shared room in home,Shared room,12,1,7,$556.00 ,1,24,72,4.64
50848656,411079992,8,Richmond Hill,40.70259,-73.83074,Private room in home,Private room,2,1,7,$65.00 ,1,20,27,4.81
